PRED,IMAGE,CONF
2158XS,090112_1701095351089R03_601,922
4BNH64,090009_1701090918829F04_481,935
2DJM54,090110_1701100095238R04_071,934
2GKC53,090113_1701098974038R03_421,927
4,090109_1701116009644R05_301,768
CKN970,090004_1701109945781F02_941,913
666EB3,001315_1701104144900F02_365,882
1BXN36,011016_1701112080672R01_061,937
3ZBG27,090010_1701112573051R04_451,917
4XNM29,001215_1701117000459R02_411,931
BH11542,090012_1701102374115F02_221,905
4XXL57,090114_1701091909840R05_891,901
3GRZ19,090013_1701118354138F04_021,936
271DJ3,090113_1701092683160R01_431,906
NK6P5H,090103_1701121039551F03_581,928
AR61525,090007_1701109862770R02_371,885
BK73302,090107_1701103224447F04_511,932
2CYB52,090010_1701120713303R02_451,935
3936A,001115_1701097121427F04_241,883
4TZT37,090111_1701109871131F03_611,934
2PKD22,090106_1701114162927F04_581,938
815ZX,090107_1701108487825F02_681,916
3SPJ63,090110_1701115780979F04_231,933
4WJM17,090112_1701113785194F03_651,927
T81504,090009_1701106801109F04_111,937
167YY2,090012_1701094974005F04_331,930
3SHF93,090011_1701102027807R03_521,930
ED39,090108_1701103202868F04_901,592
3SYF56,090112_1701112283452R04_211,949
2ENT6,090109_1701119898951R05_491,884
BM64164,090107_1701100268233R04_311,892
QUIET1,001315_1701096618467F02_215,876
3PAK87,090106_1701097071531F04_061,937
2NZV33,090010_1701112299152F03_231,922
W64491,090102_1701103444106R02_461,787
3NSY79,001315_1701091665157F02_213,881
JDP4287,090109_1701094639954R03_661,911
7AS482,090009_1701107482431R04_841,938
6LP921,090111_1701120661734F02_331,923
3ELD64,001215_1701111700899R02_351,939
3RFW15,090014_1701098173401F05_581,927
3ANR95,090112_1701099023740F03_101,937
BM68436,090110_1701112225278F03_161,924
3209315,090107_1701105690067R03_421,908
4SCX17,090004_1701094696908R02_831,937
168TY5,090007_1701102904727F04_001,932
W91729,090006_1701113752525F03_971,939
HBU8689,090013_1701111667133F04_001,908
3HDR73,090113_1701100540156F04_861,928
1SN926,090110_1701105100901F04_301,942
EVNJ93,090113_1701099564540F04_221,896
BJ72792,090109_1701112645695R04_751,915
8WH393,011016_1701120021496R01_911,925
2SLG83,090113_1701113251872R02_081,948
9ACH60,090109_1701114035477F02_281,925
996YL3,001315_1701117599453F03_232,910
717DT3,090109_1701093729965F03_101,938
W3TJD11,090005_1701105973903F03_931,347
1BSW11,090009_1701109464338R04_261,936
3VWD33,001215_1701090295555F02_981,931
3WKA94,090010_1701119824423F03_441,944
AL76IE,090105_1701105033183R02_511,930
11,090009_1701110719845R06_431,496
1WCN18,090314_1701093502728F01_271,936
4KKG61,090105_1701101145851R02_871,943
5203435,090112_1701102451574F02_401,938
3VNK19,090012_1701100444784R01_331,933
3GYF83,001215_1701101114859R02_321,923
2KMV45,090108_1701116030553F03_431,938
45336,090012_1701103731697F02_101,941
X698XA,090103_1701095742402R03_241,918
4627,001115_1701096503323R05_413,917
5MDX69,090013_1701092193270F04_461,906
97FZ15,090009_1701090935757F05_601,616
7XZ428,090014_1701116399863F04_671,931
4YTN48,011116_1701119225600R01_551,936
KBC2177,090001_1701112758933F02_271,906
2WJS43,090012_1701115033560F04_311,928
8LKM930,090111_1701107323785R03_461,931
4YKC11,001315_1701117820450F02_385,917
HCP4354,090102_1701116327602F02_801,910
2BLM63,090013_1701095550256F04_501,913
7KGY80,090113_1701094246631R04_211,919
9TE577,011116_1701096949601F02_071,934
X39927,001315_1701096176927F03_279,902
EYHW97,090011_1701107540193R03_411,916
1CMV17,090111_1701093046613F04_981,935
M999,011016_1701107999045R01_981,933
K96477,090108_1701115731708R04_411,900
W88562,090107_1701098102623F03_151,923
W53734,090013_1701094348066F01_651,949
3AAD16,090011_1701108470289F04_551,937
2KNS15,090110_1701117672438F04_321,927
AC52722,090009_1701097621319F04_071,931
SDR2027,090112_1701101275307F03_141,937
1KMS44,090009_1701117102000R05_441,936
4KVW45,090112_1701108870222R01_331,943
2ZBJ91,001215_1701107424268F02_311,936
V99590,090009_1701095233886F04_451,915
2EVG37,090006_1701101539551F04_431,924
3CEV59,090110_1701108826799F04_531,922
36DZHI,090013_1701099818725R02_521,936
2598YZ,090003_1701100016226F03_741,934
B10SDN,090006_1701112842198R04_711,940
3KDB66,090110_1701108423899R03_241,941
2TWX73,090012_1701105674358R03_551,929
6HA529,001315_1701093765963F02_330,917
Z19,090109_1701095597567R05_031,748
EV97AW,090111_1701094585465R04_581,905
49AP42,090108_1701116151508R02_231,926
MBY8904,090002_1701116772705R02_681,923
86149,090112_1701115033360F02_861,915
CKXH570,090103_1701096543784R03_431,907
V86852,090104_1701095959375R02_471,933
158CX5,090108_1701102203790R04_451,928
68FL13,090014_1701090918612F04_011,874
9BT377,090012_1701120735438R04_811,927
5PWR49,090009_1701113486095F06_511,921
269YJN,090110_1701101437610F03_741,920
W828002,090013_1701098196903F02_831,338
EA63698,090003_1701103824814F03_801,905
AJ33614,090010_1701103005827R04_271,916
X57751,090107_1701105662986F03_491,922
6348ZY,090106_1701098786768F02_531,919
